,decision_ID,date,holder_ID,LOC,euipo_ind_holder,euipo_ind_TM_opp,euipo_ind_TM_app,boip_ind_holder,boip_ind_TM_opp,boip_ind_TM_app
6235,3105852,17-12-2020,77347,+,1,1,4,,,
6236,2904525,19-09-2019,564263,+,2,2,1,,,
6237,3135879,23-02-2022,1102978,+,,,1,Err,,
6238,2912825,28-05-2019,345309,+,1,1,,,,1
6239,2571894,05-07-2016,44794,+,2,2,1,,,
6240,3063747,06-05-2020,1058400,+,2,2,1,,,1
6241,3146983,11-05-2022,1114352,+,2,2,1,,,
6242,2935453,22-01-2019,489389,+,,,1,Err,,1
6243,3135522,24-01-2022,130995,-,1,1,,,,1
6244,3004796,03-12-2019,356180,+,Err,Err,Err,Err,Err,Err
6245,3087545,11-08-2021,731932,-,696,,1,,,1
6246,3110731,02-09-2021,398903,+,2,2,1,,,1
6247,3076258,29-01-2020,150398,+,249,,1,,,1
6248,2537630,27-09-2016,235070,+,644,700,1,,,
6249,2852161,19-03-2018,62288,+,Err,Err,Err,Err,Err,Err
6250,2802273,17-11-2017,664752,+,Err,Err,Err,Err,Err,Err
6251,2783481,02-11-2017,588802,-,Err,Err,Err,Err,Err,Err
6252,2823436,15-05-2019,735211,+,Err,Err,Err,Err,Err,Err
6253,2608068,18-01-2017,613753,+,Err,Err,Err,Err,Err,Err
6254,3097427,10-02-2022,1037319,-,,,1,Err,,1
6255,2922162,30-04-2018,842009,+,,,1,Err,,
6256,2858507,18-12-2019,281524,+,2,2,1,,,1
6257,3070007,25-02-2020,68092,+,2,2,1,,,1
6258,2976648,20-10-2020,857362,+ -,,,1,,,1
6259,3130125,27-01-2022,303314,+,1,,,,,1
6260,2958273,12-07-2018,434846,+ -,Err,Err,Err,Err,Err,Err
6261,2525593,20-06-2016,372402,-,Err,Err,Err,Err,Err,Err
6262,2527391,31-05-2016,196097,-,,,1,Err,,1
6263,3086882,25-11-2021,283035,+ -,2,2,1,15,15,1
6264,2801341,19-01-2018,273540,+,Err,Err,Err,Err,Err,Err
6265,3091680,24-11-2020,99547,+,,,1,,,1
6266,3077705,06-07-2020,303314,+,225,,1,,,1
6267,2981093,10-10-2018,864450,-,,,1,Err,,1
6268,3047057,30-07-2019,928855,+,,,1,Err,,1
6269,3063240,17-07-2019,478440,+,3,3,1,,,1
6270,2932203,26-11-2018,491318,+,,,1,,,1
6271,3091091,14-09-2020,787019,+ -,2,2,1,Err,Err,Err
6272,2564634,22-11-2016,314490,+,98,2,1,,,1
6273,3130234,30-11-2021,35956,-,Err,Err,Err,Err,Err,Err
6274,3013334,18-01-2019,644966,+,,1,,11,11,1
6275,2914375,23-05-2018,535311,-,2,2,1,,,23
6276,2884594,08-03-2018,813548,+ -,Err,Err,Err,Err,Err,Err
6277,3132202,25-11-2021,854212,+,2,2,1,,,
6278,1401282,11-07-2018,154853,+,,,1,,,
6279,2886094,21-03-2018,554104,+ -,Err,Err,Err,Err,Err,Err
6280,2688656,28-02-2019,179473,+,Err,Err,Err,Err,Err,Err
6281,3052862,06-05-2019,916837,+ -,,,1,Err,,1
6282,2735788,11-09-2017,172551,+ -,2,3,1,Err,Err,Err
6283,3101828,16-12-2020,746439,+,2,2,1,,,
6284,2571209,30-11-2016,152371,-,Err,Err,Err,Err,Err,Err
6285,3135408,22-10-2021,931815,+,2,2,1,,,1
6286,3079927,20-07-2020,129287,+,2,2,1,,,
6287,3074189,14-12-2020,821780,-,188,,,,,1
6288,2899931,29-05-2018,814529,+,2,2,1,,,1
6289,3064384,30-11-2021,880506,+,,,3,Err,,2
6290,3140444,03-02-2022,848657,+ -,2,2,1,,,1
6291,2733817,27-03-2018,499666,-,,,,,4,
6292,2657354,03-05-2017,732133,+,151,,1,,,
6293,3056436,24-05-2019,143929,+,2,2,1,,,
6294,2928722,18-07-2019,649663,+,2,2,1,,,8
6295,2443565,02-05-2016,55366,-,Err,Err,Err,Err,Err,Err
6296,3135964,18-10-2021,194841,+,Err,Err,Err,Err,Err,Err
6297,3079736,31-01-2020,674465,+,1,1,,30,30,1
6298,3067524,18-10-2019,35956,-,Err,Err,Err,Err,Err,Err
6299,3066145,16-10-2019,151752,+,2,2,1,,,1
6300,3127936,14-10-2021,235070,+ -,2,,1,,,1
6301,3137237,18-01-2022,237588,+ -,2,2,1,,,1
6302,2681149,14-06-2017,196097,+ -,,2,1,Err,,1
6303,3135740,15-02-2022,692296,+ -,,,194,,,1
6304,2971474,11-12-2018,861086,-,4,2,3,,,2
6305,2870437,21-08-2018,783589,-,2,2,1,,,1
6306,2872383,29-08-2018,136266,+,,,,,,3
6307,3068128,30-10-2019,1023948,-,2,2,1,,,1
6308,3017376,26-06-2019,627132,-,1,1,,,,1
6309,2766551,27-09-2017,36979,+,2,3,1,,,
6310,2932914,17-10-2019,1877,+,2,2,1,,,
6311,3112371,24-08-2021,1069061,-,Err,Err,Err,Err,Err,Err
6312,2995333,25-01-2019,219458,-,2,2,1,,,1
6313,3102712,23-11-2020,106396,+,2,2,1,,,1
6314,2522228,07-11-2016,38512,+,Err,Err,Err,Err,Err,Err
6315,2930926,22-06-2018,87807,+,Err,Err,Err,Err,Err,Err
6316,3017129,10-09-2019,335689,+,Err,Err,Err,Err,Err,Err
6317,3100158,22-01-2021,846190,-,,,1,Err,,1
6318,2530411,07-12-2018,699105,+,,1,,Err,1,
6319,3138126,31-01-2022,1130969,+,2,2,1,1,1,
6320,2590019,26-03-2018,719861,+,Err,Err,Err,Err,Err,Err
6321,2804972,20-10-2017,94810,+,Err,Err,Err,Err,Err,Err
6322,3126184,20-12-2021,165086,+,2,2,1,,,1
6323,3054478,14-03-2022,593836,+,,,1,,,
6324,2871096,26-03-2018,580281,+,Err,Err,Err,Err,Err,Err
6325,2646746,24-10-2018,252101,+ -,2,2,1,,,1
6326,3103840,05-10-2021,134798,+,2,2,1,,,1
6327,2611013,01-12-2016,11850,+ -,Err,Err,Err,Err,Err,Err
6328,2827346,12-03-2018,517683,+,Err,Err,Err,Err,Err,Err
6329,3073862,20-03-2020,637650,+,2,2,1,,5,
6330,3124977,20-09-2021,747369,+,Err,Err,Err,Err,Err,Err
6331,2734781,23-04-2018,3637,-,Err,Err,Err,Err,Err,Err
6332,2653759,07-12-2018,1877,+,,,1,,,1
6333,2882952,03-12-2018,337910,-,Err,Err,Err,Err,Err,Err
6334,3060839,08-10-2021,1094961,+ -,1,1,5,,,1
6335,3066686,28-10-2019,422310,+,,1,,Err,,
6336,2596206,17-01-2017,277,+,2,2,1,,,1
6337,2968835,17-02-2021,135527,+,2,2,1,,,1
6338,3059567,02-07-2019,807525,+,2,2,1,14,14,
6339,2566324,11-07-2016,160445,+,320,,,,,1
6340,2936113,10-08-2018,711016,+ -,2,2,1,,,1
6341,2431321,30-10-2018,79581,+,3,,1,,,
6342,3087494,24-04-2020,328761,-,Err,Err,Err,Err,Err,Err
6343,3064306,31-10-2019,918363,+,Err,Err,Err,Err,Err,Err
6344,2602251,16-12-2016,23601,+ -,Err,Err,Err,Err,Err,Err
6345,2644238,19-06-2017,735211,+,Err,Err,Err,Err,Err,Err
6346,2772492,01-10-2018,301532,+ -,2,2,1,,,
6347,3059712,26-09-2019,44842,+,,,1,,,1
6348,2743287,30-05-2018,410977,+ -,2,2,1,13,13,
6349,3054657,12-12-2019,271485,+,2,2,1,,,
6350,3113063,11-12-2020,17606,+,2,,1,,,
6351,3032698,31-01-2019,885968,+,,1,,Err,1,
6352,3035501,15-02-2019,689897,+ -,2,2,1,,,
6353,3055050,29-05-2019,855153,+,,1,,Err,,
6354,3021808,19-12-2019,579895,+,Err,Err,Err,Err,Err,Err
6355,3107591,19-01-2021,362276,-,,2,1,,,1
6356,3054605,21-06-2019,868799,+,,,1,Err,,
6357,2814245,12-10-2017,741363,+,Err,Err,Err,Err,Err,Err
6358,2213539,08-11-2016,452299,+,,,1,Err,,1
6359,3101412,17-12-2020,381845,+,111,,1,,27,1
6360,3025163,16-10-2020,665094,+,2,2,1,,,1
6361,3073136,21-04-2020,684613,+ -,Err,Err,Err,Err,Err,Err
6362,2702382,22-09-2017,515656,-,Err,Err,Err,Err,Err,Err
6363,2523135,15-12-2016,65967,+,2,2,1,,,1
6364,3135755,05-10-2021,155352,+,2,2,1,45,,
6365,3069208,20-09-2019,538066,+ -,2,2,1,,,1
6366,2812231,10-05-2018,40306,-,2,2,1,,,1
6367,2912619,22-06-2018,836882,-,,,1,Err,,1
6368,3061560,16-09-2019,174483,-,2,2,1,Err,Err,Err
6369,2769241,29-03-2018,168421,+ -,Err,Err,Err,Err,Err,Err
6370,2802547,14-03-2018,536020,-,Err,Err,Err,Err,Err,Err
6371,2853334,29-05-2018,228906,-,1,1,,,,1
6372,3113674,08-06-2021,923889,+,2,2,1,,,1
6373,3053179,04-06-2019,228308,-,Err,Err,Err,Err,Err,Err
6374,2357435,11-08-2018,395651,+,2,2,1,,,1
6375,3143725,31-05-2022,645327,-,,,1,Err,,1
6376,2532540,12-08-2016,278854,+ -,19,,1,,,
6377,3111876,15-10-2021,279636,+,2,2,1,,,1
6378,3076648,14-01-2020,439961,-,643,,1,,,2
6379,2810359,20-10-2017,116126,+,Err,Err,Err,Err,Err,Err
6380,2679234,25-02-2019,200854,+,,,1,Err,,1
6381,2528431,15-06-2017,445512,+ -,2,2,1,,,1
6382,2654054,26-06-2017,451436,+,,1,4,,,
6383,2783911,03-05-2018,136847,-,Err,Err,Err,Err,Err,Err
6384,2891698,29-11-2018,281649,-,8,8,1,,,1
6385,3122388,11-11-2021,833939,+,Err,Err,Err,Err,Err,Err
6386,3047646,15-12-2020,272706,-,8,2,1,6,6,1
6387,3008953,26-02-2019,876149,+,Err,Err,Err,Err,Err,Err
6388,3092766,29-01-2021,687992,+ -,Err,Err,Err,Err,Err,Err
6389,2542267,02-09-2016,702320,+ -,,,1,Err,,1
6390,3140080,31-01-2022,205756,+,598,,1,,,1
6391,3106798,10-12-2020,352057,-,2,2,1,,,1
6392,2761479,19-06-2017,81702,+,,2,1,,,
6393,2703026,30-05-2017,692977,+,2,2,1,,,
6394,2943903,09-10-2018,35956,+,82,,4,,,
6395,3081335,13-03-2020,790048,+,2,2,1,,,1
6396,3084468,29-05-2020,771696,+ -,Err,Err,Err,Err,Err,Err
6397,2702572,25-05-2017,213758,+,2,2,1,,,
6398,3134591,15-10-2021,932364,+,2,3,1,,,
6399,2758129,28-03-2018,407570,+,Err,Err,Err,Err,Err,Err
6400,3116465,05-08-2021,838459,-,Err,Err,Err,Err,Err,Err
6401,3068895,26-02-2020,106396,+,2,3,1,,,
6402,3139104,19-01-2022,664429,+,,,1,Err,,1
6403,3062507,12-12-2019,883490,+,3,2,1,,,1
6404,2942848,04-04-2022,199049,+,2,3,1,,,
6405,3130492,11-11-2021,46267,-,2,2,1,,7,1
6406,3117281,21-04-2021,1083498,+,,,1,Err,,1
6407,2601113,02-09-2016,640252,+,2,2,1,4,4,1
6408,3125359,15-09-2021,425494,+,2,2,1,41,41,
6409,3059927,17-09-2019,769423,+,3,3,2,,,2
6410,3079394,06-02-2020,783771,+,1,1,,,,
6411,3126988,25-03-2022,1034273,+,2,2,1,,,
6412,3121521,04-03-2022,839,-,Err,Err,Err,Err,Err,Err
6413,2664319,15-03-2017,642047,+,,,1,Err,,
6414,3063683,04-07-2019,949915,+,,,1,Err,,1
6415,2927005,17-09-2018,843825,+,,,1,Err,,
6416,3105776,16-09-2021,377112,+,2,2,1,23,23,
6417,3051004,22-07-2019,922323,+ -,,,1,Err,,1
6418,2652546,31-03-2017,133688,+,Err,Err,Err,Err,Err,Err
6419,2874868,22-02-2018,359774,+,Err,Err,Err,Err,Err,Err
